subject,story,raw_score,sft_score,delta
sub-295,bronx,0.8257,0.8258,9.999999999998899e-05
sub-037,pieman,0.9923,0.9924,9.999999999998899e-05
sub-298,black,0.8169,0.8169,0.0
sub-244,shapessocial,0.8186,0.8186,0.0
sub-067,pieman,0.9956,0.9956,0.0
sub-069,tunnel,0.9992,0.9992,0.0
sub-048,pieman,0.9731,0.973,-9.999999999998899e-05
sub-075,21styear,0.7655,0.7654,-9.999999999998899e-05
sub-058,tunnel,0.9827,0.9826,-9.999999999998899e-05
sub-243,shapesphysical,0.88,0.8799,-9.999999999998899e-05
sub-141,notthefallshortscram,0.8037,0.8036,-9.999999999998899e-05
sub-206,shapesphysical,0.7875,0.7874,-9.999999999998899e-05
sub-095,notthefallintact,0.8879,0.8878,-9.999999999998899e-05
sub-329,notthefallintact,0.9904,0.9903,-9.999999999998899e-05
sub-142,notthefallintact,0.9744,0.9743,-9.999999999998899e-05
sub-022,pieman,0.9929,0.9927,-0.00019999999999997797
sub-302,black,0.8482,0.848,-0.00019999999999997797
sub-102,prettymouth,0.9826,0.9824,-0.00019999999999997797
sub-066,notthefalllongscram,0.9661,0.9659,-0.00019999999999997797
sub-253,shapesphysical,0.8577,0.8575,-0.00019999999999997797
sub-305,bronx,0.829,0.8288,-0.00019999999999997797
sub-069,pieman,0.8297,0.8295,-0.00019999999999997797
sub-085,prettymouth,0.8927,0.8925,-0.000200000000000089
sub-057,pieman,0.9822,0.9819,-0.00029999999999996696
sub-043,pieman,0.977,0.9767,-0.00029999999999996696
sub-238,shapesphysical,0.837,0.8367,-0.00029999999999996696
sub-170,merlin,0.8386,0.8383,-0.00029999999999996696
sub-135,slumlordreach,0.9612,0.9609,-0.000300000000000078
sub-058,shapessocial,0.9756,0.9753,-0.000300000000000078
sub-134,notthefalllongscram,0.9801,0.9797,-0.00039999999999995595
sub-074,lucy,0.8891,0.8887,-0.00039999999999995595
sub-132,notthefallintact,0.8887,0.8883,-0.00040000000000006697
sub-212,shapesphysical,0.7448,0.7444,-0.00040000000000006697
